Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,student0@university.com,Female,0.6666666666666665,Engineering,0.04560912182436505,0.2505835278426142,0.2970990330110037,0.684673869547819,0.4812737832966154,0.399,0.7179435887177439,0.12147288373023812,F,0.048000000000000015,No,Yes,High School,Medium,0.4444444444444445,0.14
S1001,Maria,Brown,student1@university.com,Male,0.0,Engineering,0.9453890778155631,0.9541513837945981,0.09669889963321099,0.4963985594237694,0.8854396154616464,0.8320000000000001,0.11282256451290262,0.012407444466679962,A,0.56,No,Yes,PhD,Medium,0.3333333333333333,1.0
S1002,Ahmed,Jones,student2@university.com,Male,1.0,Business,0.14362872574514918,0.4509836612204068,0.894964988329443,0.35414165666266495,0.7144001602243142,0.505,0.4756951390278059,0.40584350610366204,D,0.6279999999999999,No,Yes,Master's,Low,0.5555555555555556,0.44000000000000017
S1003,Omar,Williams,student3@university.com,Female,1.0,Mathematics,0.9029805961192241,0.1298766255418473,0.677392464154718,0.3213285314125649,0.870819146805528,0.654,0.8423684736947392,0.2323394036421853,A,0.792,Yes,Yes,High School,High,0.2222222222222222,0.54
S1004,John,Smith,student4@university.com,Female,0.833333333333333,CS,0.08341668333666741,0.10986995665221744,0.6483827942647549,0.9373749499799917,0.6743440817144004,0.597,0.3682736547309464,0.32239343606163673,F,0.416,Yes,Yes,High School,High,0.1111111111111111,0.6199999999999999
S1005,Liam,Brown,student5@university.com,Male,0.5,Engineering,0.5144028805761152,0.6477159053017671,0.05885295098366128,0.42817126850740306,0.04346084518325655,0.638,0.3456691338267657,0.2413448068841304,B,0.14,Yes,Yes,PhD,High,0.0,0.19999999999999996
S1006,Ahmed,Jones,student6@university.com,Male,1.0,Business,0.15183036607321476,0.43781260420140056,0.8181060353451148,0.690676270508203,0.9687562587622673,0.22999999999999998,0.872974594918984,0.6641985191114668,F,0.6520000000000001,No,Yes,PhD,Low,0.4444444444444445,0.4800000000000002
S1007,Ahmed,Smith,student7@university.com,Male,0.16666666666666652,Engineering,0.038007601520304135,0.09453151050350117,0.5661887295765253,0.602641056422569,0.9186861606248751,0.373,0.8647729545909182,0.6385831498899341,F,0.8920000000000001,Yes,No,PhD,Medium,0.3333333333333333,0.05999999999999994
S1008,Omar,Smith,student8@university.com,Female,0.5,CS,0.719343868773755,0.7405801933977991,0.8481160386795599,0.1410564225690274,0.12617664730622868,0.051000000000000004,0.8801760352070418,0.9125475285171103,A,0.12,No,No,Bachelor's,Low,0.8888888888888888,0.9600000000000002
S1009,Sara,Smith,student9@university.com,Female,0.6666666666666665,Engineering,0.2800560112022408,0.7995998666222073,0.9748249416472157,0.9399759903961584,0.11215701982775905,0.588,0.5719143828765754,0.699819891935161,A,0.184,No,Yes,PhD,Medium,1.0,0.4800000000000002
